"athlete_id","pos_type_id","pos_type_name","pos_type_abbreviation","pos_type_parent_id"
"1","2","Defensive Tackle","DT","1"
"2","3","Defensive Back","DB","1"
"3","5","Running Back","RB","4"
"4","6","Wide Receiver","WR","4"
"5","7","Defensive End","DE","1"
"6","8","Safety","S","3"
"7","5","Running Back","RB","4"
"8","8","Safety","S","3"
"9","3","Defensive Back","DB","1"
"10","9","Linebacker","LB","1"
"11","5","Running Back","RB","4"
"12","5","Running Back","RB","4"
"13","9","Linebacker","LB","1"
"14","10","Unknown","-",\N
"15","9","Linebacker","LB","1"
"16","8","Safety","S","3"
"17","7","Defensive End","DE","1"
"18","11","Guard","G",\N
"19","3","Defensive Back","DB","1"
"20","12","Cornerback","CB","3"
"21","9","Linebacker","LB","1"
"22","12","Cornerback","CB","3"
"23","5","Running Back","RB","4"
"24","8","Safety","S","3"
"25","6","Wide Receiver","WR","4"
"26","9","Linebacker","LB","1"
"27","12","Cornerback","CB","3"
"28","12","Cornerback","CB","3"
"29","12","Cornerback","CB","3"
"30","5","Running Back","RB","4"
"31","9","Linebacker","LB","1"
"32","7","Defensive End","DE","1"
"33","10","Unknown","-",\N
"34","12","Cornerback","CB","3"
"35","13","Center","C","4"
"36","6","Wide Receiver","WR","4"
"37","15","Place kicker","PK","14"
"38","12","Cornerback","CB","3"
"39","16","Offensive Tackle","OT","4"
"40","8","Safety","S","3"
"41","2","Defensive Tackle","DT","1"
"42","12","Cornerback","CB","3"
"43","3","Defensive Back","DB","1"
"44","6","Wide Receiver","WR","4"
"45","6","Wide Receiver","WR","4"
"46","6","Wide Receiver","WR","4"
"47","5","Running Back","RB","4"
"48","11","Guard","G",\N
"49","16","Offensive Tackle","OT","4"
"50","7","Defensive End","DE","1"
"51","6","Wide Receiver","WR","4"
"52","10","Unknown","-",\N
"53","11","Guard","G",\N
"54","10","Unknown","-",\N
"55","9","Linebacker","LB","1"
"56","8","Safety","S","3"
"57","16","Offensive Tackle","OT","4"
"58","17","Tight End","TE","4"
"59","6","Wide Receiver","WR","4"
"60","3","Defensive Back","DB","1"
"61","6","Wide Receiver","WR","4"
"62","5","Running Back","RB","4"
"63","9","Linebacker","LB","1"
"64","9","Linebacker","LB","1"
"65","7","Defensive End","DE","1"
"66","6","Wide Receiver","WR","4"
"67","17","Tight End","TE","4"
"68","9","Linebacker","LB","1"
"69","3","Defensive Back","DB","1"
"70","8","Safety","S","3"
"71","18","Offensive Lineman","OL","4"
"72","2","Defensive Tackle","DT","1"
"73","7","Defensive End","DE","1"
"74","7","Defensive End","DE","1"
"75","16","Offensive Tackle","OT","4"
"76","12","Cornerback","CB","3"
"77","6","Wide Receiver","WR","4"
"78","3","Defensive Back","DB","1"
"79","2","Defensive Tackle","DT","1"
"80","16","Offensive Tackle","OT","4"
"81","2","Defensive Tackle","DT","1"
"82","11","Guard","G",\N
"83","8","Safety","S","3"
"84","16","Offensive Tackle","OT","4"
