"roster_id","is_starter","did_play","team_id","team_location","team_name","athlete_id","athlete_first_name","athlete_last_name","event_date"
"18089","1","1","1","Arizona","Cardinals","53","Isaiah","Adams","2025-09-07"
"18071","1","1","1","Arizona","Cardinals","762","Budda","Baker","2025-09-07"
"18090","0","1","1","Arizona","Cardinals","1104","Kelvin","Beachum","2025-09-07"
"18124","0","1","1","Arizona","Cardinals","1276","Trey","Benson","2025-09-07"
"18102","0","1","1","Arizona","Cardinals","1514","Joey","Blount","2025-09-07"
"18091","0","1","1","Arizona","Cardinals","1871","Aaron","Brewer","2025-09-07"
"18092","0","0","1","Arizona","Cardinals","1926","Jacoby","Brissett","2025-09-07"
"18072","1","1","1","Arizona","Cardinals","2109","Evan","Brown","2025-09-07"
"18080","1","1","1","Arizona","Cardinals","2240","Baron","Browning","2025-09-07"
"18121","0","1","1","Arizona","Cardinals","2376","Jordan","Burch","2025-09-07"
"18128","0","1","1","Arizona","Cardinals","2389","Denzel","Burke","2025-09-07"
"18068","1","1","1","Arizona","Cardinals","2621","Calais","Campbell","2025-09-07"
"18116","0","1","1","Arizona","Cardinals","3113","Kei'Trel","Clark","2025-09-07"
"18095","0","1","1","Arizona","Cardinals","3365","L.J.","Collier","2025-09-07"
"18104","0","1","1","Arizona","Cardinals","3407","Zaven","Collins","2025-09-07"
"18127","0","1","1","Arizona","Cardinals","3458","Hayden","Conner","2025-09-07"
"18070","1","1","1","Arizona","Cardinals","3459","James","Conner","2025-09-07"
"18126","0","1","1","Arizona","Cardinals","3721","Kitan","Crawford","2025-09-07"
"18075","1","1","1","Arizona","Cardinals","4188","Akeem","Davis-Gaither","2025-09-07"
"18112","0","1","1","Arizona","Cardinals","4296","Emari","Demercado","2025-09-07"
"18099","0","1","1","Arizona","Cardinals","4560","Greg","Dortch","2025-09-07"
"18074","1","1","1","Arizona","Cardinals","5727","Hjalte","Froholdt","2025-09-07"
"18125","0","1","1","Arizona","Cardinals","5734","Josh","Fryar","2025-09-07"
"18115","0","1","1","Arizona","Cardinals","5825","Jon","Gaines II","2025-09-07"
"18100","0","1","1","Arizona","Cardinals","6111","Blake","Gillikin","2025-09-07"
"18084","1","1","1","Arizona","Cardinals","7172","Marvin","Harrison Jr.","2025-09-07"
"18093","0","0","1","Arizona","Cardinals","7509","Will","Hernandez","2025-09-07"
"18082","1","1","1","Arizona","Cardinals","7593","Elijah","Higgins","2025-09-07"
"18101","0","1","1","Arizona","Cardinals","8478","Trishton","Jackson","2025-09-07"
"18130","0","1","1","Arizona","Cardinals","9032","Will","Johnson","2025-09-07"
"18083","1","1","1","Arizona","Cardinals","9049","Paris","Johnson Jr.","2025-09-07"
"18094","0","1","1","Arizona","Cardinals","9304","Zay","Jones","2025-09-07"
"18096","0","1","1","Arizona","Cardinals","9212","Justin","Jones","2025-09-07"
"18106","0","1","1","Arizona","Cardinals","9151","Elijah","Jones","2025-09-07"
"18110","0","1","1","Arizona","Cardinals","9118","Christian","Jones","2025-09-07"
"18117","0","1","1","Arizona","Cardinals","9749","Bam","Knight","2025-09-07"
"18081","1","1","1","Arizona","Cardinals","11213","Trey","McBride","2025-09-07"
"18088","1","1","1","Arizona","Cardinals","11696","Max","Melton","2025-09-07"
"18098","0","1","1","Arizona","Cardinals","12405","Sean","Murphy-Bunting","2025-09-07"
"18076","1","1","1","Arizona","Cardinals","12417","Kyler","Murray","2025-09-07"
